title	node_id	landmark_id	ok
Tomb of King Sidabutar	king-sidabutar-tomb	f919f163-4367-42d6-b43a-3967937c7ff7	false
Huta Siallagan	huta-siallagan	e90b17bd-71f4-468e-8897-e28d75548cd6	false
Hasapi	hasapi	d8f84973-6e96-4006-9179-c5261e81e752	false
Tor-Tor Dance	tortor	dd76248a-39fb-4a53-8700-0ec14599c8c6	false
Arsik	arsik	fdf386b8-9cb6-4adf-a875-75472b005b03	false
Tele Tower	tele-watchtower	de5c84ac-ed50-4b91-94e1-c7ee5ec5ac60	false
Ombus-Ombus	ombus-ombus	ebb41a35-fa12-486f-99f8-34bf7a3dd6e3	false
Museum Huta Bolon	hutabolon-museum	a9928359-3961-4822-a29a-4ff961d3bc47	false
Binangalom Waterfall	binangalom-waterfall	c4e4f29b-1c71-41ad-b919-2d6effbb308c	false
Pusuk Buhit	mount-pusuk-buhit	da4b6c3c-8e8e-410f-921b-3ab8e535f6fd	false
Parbaba Beach	parbaba-beach	af5ce47b-af55-4b82-9a14-9f063eb33810	false
Naniura	naniura	e9f43cec-c9e0-4fb2-8004-82c01cf7b582	false
Dali Ni Horbo	dali-ni-horbo	fbaf2cac-1f99-4d7a-82a3-7dc268f0b3a3	false
Mie Gomak	mie-gomak	ebd66974-5bfa-4db6-8766-61ffd56ec1ab	false
Gondang Sabangunan	gondang-sabangunan	f56f36ab-5e11-4358-958b-3bd7a10a4ede	false
Sarune Bolon	sarune-bolon	a530f98f-e7c4-46c6-9669-bb36237b31a9	false
Taganing	taganing	e527241e-00bf-458a-9165-4248daf382b4	false
Legend of Toba	toba-lake	e18cc137-8f6c-4778-b194-f05ef1d5a5f9	false
Tunggal Panaluan	tunggal-panaluan	94b6f42f-6f21-428f-a791-6d81b1af8618	false
Tugu Aritonang	tugu-toga-aritonang	870b1135-9ca7-4c5a-b89d-5c197e40a024	false
Efrata Waterfall	efrata-waterfall	902fddff-fe92-494f-9f7f-90f87e1268a8	false
Holbung Hill	holbung-hill	ed18cca7-b193-4e4d-9b84-1a4558a0cd1c	false
Sigale-gale	sigale-gale	be90486d-11a9-4caa-be2b-387e5527b364	false
Batu Gantung	hanging-stone	cd24b16d-2691-42f1-b439-cad4b46f179b	false
